"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
2,462.4	79.4103	2,462.4	72.9169	2,462.4	82.1696	2,462.4	79.394	2,462.4	68.4687	2,462.4	78.6413
2,548.83	79.3618	2,548.83	74.9127	2,548.83	83.5293	2,548.83	80.6426	2,548.83	68.7989	2,548.83	79.6965
2,639.65	79.8355	2,639.65	76.6681	2,639.65	83.2718	2,639.65	80.5745	2,639.65	69.4191	2,639.65	79.8047
2,731.93	80.9057	2,731.93	78.5307	2,731.93	82.4738	2,731.93	79.9743	2,731.93	68.5562	2,731.93	79.803
2,828.61	81.1764	2,828.61	80.9755	2,828.61	84.1769	2,828.61	81.0751	2,828.61	69.8212	2,828.61	81.1768
2,928.22	79.959	2,928.22	82.9315	2,928.22	85.3147	2,928.22	82.5843	2,928.22	71.3774	2,928.22	82.2037
3,030.76	80.5935	3,030.76	82.3656	3,030.76	84.4569	3,030.76	82.4763	3,030.76	72.073	3,030.76	81.8132
3,137.7	81.1103	3,137.7	82.1264	3,137.7	83.4829	3,137.7	82.1608	3,137.7	71.522	3,137.7	81.4236
3,249.02	82.1288	3,249.02	82.5678	3,249.02	84.0488	3,249.02	82.6337	3,249.02	71.9934	3,249.02	82.0256
3,363.28	82.5717	3,363.28	82.1851	3,363.28	83.6754	3,363.28	82.3328	3,363.28	72.2042	3,363.28	81.8582
3,481.93	82.6484	3,481.93	81.6849	3,481.93	83.577	3,481.93	82.1604	3,481.93	71.8437	3,481.93	81.6969
3,604.98	83.1981	3,604.98	81.4565	3,604.98	83.23	3,604.98	82.1541	3,604.98	71.9445	3,604.98	81.6963
3,732.42	82.9939	3,732.42	81.6444	3,732.42	83.212	3,732.42	82.2365	3,732.42	72.0202	3,732.42	81.6913
3,864.26	83.1696	3,864.26	81.8601	3,864.26	82.8336	3,864.26	82.2251	3,864.26	70.8309	3,864.26	81.6554
4,000.49	84.0499	4,000.49	81.6238	4,000.49	81.748	4,000.49	81.0259	4,000.49	70.1451	4,000.49	81.3734
4,141.11	83.1714	4,141.11	82.0555	4,141.11	82.4495	4,141.11	80.7977	4,141.11	69.1124	4,141.11	81.2851
4,287.6	83.0533	4,287.6	80.8513	4,287.6	82.1941	4,287.6	80.7311	4,287.6	68.8441	4,287.6	80.9017
4,438.48	82.8993	4,438.48	81.5635	4,438.48	81.925	4,438.48	80.6234	4,438.48	68.7394	4,438.48	80.913
4,595.21	83.7247	4,595.21	80.8132	4,595.21	82.4466	4,595.21	80.1664	4,595.21	68.5815	4,595.21	81.0933
4,756.35	82.7508	4,756.35	81.1714	4,756.35	82.0118	4,756.35	80.4131	4,756.35	69.0038	4,756.35	80.7643
4,924.8	81.7906	4,924.8	80.0942	4,924.8	82.3046	4,924.8	80.5635	4,924.8	69.4417	4,924.8	80.3812
5,097.66	81.2668	5,097.66	80.5373	5,097.66	82.1675	5,097.66	80.4486	5,097.66	69.2463	5,097.66	80.2616
5,277.83	81.4798	5,277.83	80.0343	5,277.83	81.3673	5,277.83	79.1619	5,277.83	68.2642	5,277.83	79.7085
5,463.87	81.8709	5,463.87	80.0363	5,463.87	81.9105	5,463.87	79.3243	5,463.87	66.6397	5,463.87	80.0013
5,657.23	80.6497	5,657.23	79.8519	5,657.23	81.409	5,657.23	78.0871	5,657.23	66.115	5,657.23	79.2384
5,856.45	79.8237	5,856.45	79.5231	5,856.45	81.3754	5,856.45	78.1946	5,856.45	65.1277	5,856.45	78.9445
6,062.99	80.7051	6,062.99	79.3018	6,062.99	81.977	6,062.99	78.251	6,062.99	65.8652	6,062.99	79.3565
6,276.86	79.5973	6,276.86	79.1046	6,276.86	81.7155	6,276.86	78.4602	6,276.86	65.9072	6,276.86	78.9762
6,498.05	78.3955	6,498.05	79.1212	6,498.05	81.7005	6,498.05	78.4032	6,498.05	65.2932	6,498.05	78.708
6,726.56	79.439	6,726.56	78.6087	6,726.56	81.7836	6,726.56	78.6867	6,726.56	65.0023	6,726.56	78.9023
6,963.87	80.3219	6,963.87	78.3827	6,963.87	80.8082	6,963.87	78.0527	6,963.87	64.2397	6,963.87	78.6163
7,209.96	80.272	7,209.96	78.2145	7,209.96	81.0462	7,209.96	77.7561	7,209.96	63.6472	7,209.96	78.5969
7,464.84	79.6824	7,464.84	77.7469	7,464.84	80.9068	7,464.84	77.6632	7,464.84	63.4534	7,464.84	78.2775
7,727.05	79.5913	7,727.05	77.3383	7,727.05	80.826	7,727.05	77.2498	7,727.05	62.5324	7,727.05	78.0757
7,999.51	80.1215	7,999.51	76.9689	7,999.51	81.5637	7,999.51	77.1744	7,999.51	62.9625	7,999.51	78.4521
8,282.23	80.2544	8,282.23	76.7634	8,282.23	81.179	8,282.23	76.4165	8,282.23	61.7708	8,282.23	78.1955
8,573.73	78.6713	8,573.73	76.2164	8,573.73	81.4911	8,573.73	76.4807	8,573.73	61.111	8,573.73	77.8134
8,876.95	79.306	8,876.95	75.9384	8,876.95	81.2897	8,876.95	75.957	8,876.95	60.1208	8,876.95	77.7744
9,188.96	79.5314	9,188.96	75.5106	9,188.96	81.2829	9,188.96	76.0537	9,188.96	60.8772	9,188.96	77.7994
9,514.16	79.0556	9,514.16	75.1255	9,514.16	80.8801	9,514.16	75.6951	9,514.16	60.2437	9,514.16	77.3821
9,849.61	79.2497	9,849.61	74.9917	9,849.61	80.8916	9,849.61	75.0748	9,849.61	58.4611	9,849.61	77.3458
10,196.8	79.3884	10,196.8	74.8707	10,196.8	81.0749	10,196.8	74.2338	10,196.8	56.5445	10,196.8	77.3656
10,555.7	79.392	10,555.7	74.7005	10,555.7	81.0716	10,555.7	73.3824	10,555.7	55.5061	10,555.7	77.2686
10,927.7	79.504	10,927.7	74.7341	10,927.7	81.0469	10,927.7	72.3106	10,927.7	52.9333	10,927.7	77.217
11,313	78.9437	11,313	74.6847	11,313	81.1313	11,313	72.0242	11,313	51.5858	11,313	77.0527
11,712.9	78.651	11,712.9	74.3638	11,712.9	81.2548	11,712.9	72.557	11,712.9	53.3078	11,712.9	77.0302
12,126	78.7493	12,126	73.6512	12,126	81.1662	12,126	72.8384	12,126	54.6765	12,126	76.9632
12,553.7	78.4968	12,553.7	72.9882	12,553.7	81.1191	12,553.7	73.0002	12,553.7	54.5443	12,553.7	76.8174
12,996.1	78.4619	12,996.1	72.2758	12,996.1	81.2989	12,996.1	72.9962	12,996.1	54.1884	12,996.1	76.8507
13,454.6	77.8732	13,454.6	71.4886	13,454.6	81.3853	13,454.6	73.031	13,454.6	53.8541	13,454.6	76.689
13,929.2	77.6594	13,929.2	70.5774	13,929.2	81.5741	13,929.2	73.0793	13,929.2	53.8733	13,929.2	76.7026
14,419.9	77.3591	14,419.9	69.2796	14,419.9	81.6348	14,419.9	72.7051	14,419.9	52.5855	14,419.9	76.579
14,928.2	76.9238	14,928.2	67.6462	14,928.2	81.4787	14,928.2	71.6289	14,928.2	50.3156	14,928.2	76.2383
15,455.6	76.2963	15,455.6	65.9188	15,455.6	81.1039	15,455.6	70.103	15,455.6	48.0145	15,455.6	75.7001
16,000.5	75.8795	16,000.5	64.0405	16,000.5	80.628	16,000.5	68.2918	16,000.5	44.3355	16,000.5	75.1479
16,564.5	75.1935	16,564.5	61.6993	16,564.5	80.0793	16,564.5	66.537	16,564.5	41.3402	16,564.5	74.4996
17,148.9	74.2993	17,148.9	58.6959	17,148.9	79.44	17,148.9	64.5985	17,148.9	37.8249	17,148.9	73.7454
17,752.4	73.2879	17,752.4	55.6773	17,752.4	78.626	17,752.4	62.2538	17,752.4	35.3344	17,752.4	72.8444
18,379.4	72.1949	18,379.4	53.2701	18,379.4	77.555	18,379.4	59.5227	18,379.4	38.586	18,379.4	71.7401
19,026.9	70.6943	19,026.9	51.6296	19,026.9	76.3437	19,026.9	56.8008	19,026.9	38.152	19,026.9	70.4496
19,697.8	68.8661	19,697.8	51.8674	19,697.8	75.1082	19,697.8	54.8553	19,697.8	35.2632	19,697.8	69.094
19,999.5	68.3539	19,999.5	52.8446	19,999.5	74.6322	19,999.5	54.722	19,999.5	38.3263	19,999.5	68.6209
