* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 2-LW
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
702.982422	85.647842	3.3828
708.076477	85.731728	3.4559
713.207520	85.747459	3.3583
718.375732	85.763908	3.1231
723.581360	85.850082	2.7171
728.824707	85.913872	2.2387
734.106079	85.848679	1.7659
739.425720	85.764267	1.3284
744.783936	85.765480	0.9969
750.180908	85.764061	0.7278
755.617065	85.682762	0.4711
761.092529	85.590309	0.3153
766.607727	85.535774	0.3724
772.162903	85.503082	0.5254
777.758301	85.491119	0.7072
783.394287	85.502914	0.8765
789.071045	85.544441	0.9904
794.789001	85.605759	0.9873
800.548340	85.691147	0.7581
806.349487	85.763802	0.4025
812.192627	85.773888	-0.0369
818.078125	85.764046	-0.4954
824.006226	85.764000	-0.8735
829.977295	85.764000	-1.2328
835.991699	85.764000	-1.6016
842.049622	85.763992	-1.9825
848.151428	85.764000	-2.3809
854.297485	85.764000	-2.8173
860.488098	85.768433	-3.3196
866.723572	85.764046	-3.8728
873.004211	85.738998	-4.4918
879.330322	85.693207	-5.1147
885.702332	85.618423	-5.6893
892.120483	85.527351	-6.2013
898.585144	85.431488	-6.6160
905.096680	85.326393	-6.9429
911.655396	85.218559	-7.2407
918.261597	85.086548	-7.3282
924.915710	84.866898	-6.9655
931.618042	84.691460	-6.3834
938.368896	84.716179	-5.6611
945.168762	84.808601	-5.0200
952.017822	84.872795	-4.7332
958.916504	84.950661	-4.7275
965.865234	85.075157	-5.0311
972.864319	85.179695	-5.6084
979.914062	85.211708	-6.5637
987.014954	85.160370	-7.5058
994.167236	84.943802	-8.0082
1001.371399	84.722672	-8.2725
1008.627747	84.686172	-8.3198
1015.936646	84.671120	-8.2733
1023.298584	84.544716	-8.3356
1030.713867	84.399467	-8.2905
1038.182739	84.283371	-7.9206
1045.705933	84.201256	-7.4243
1053.283447	84.183174	-6.9027
1060.916016	84.200867	-6.4348
1068.603882	84.238869	-6.1400
1076.347412	84.287796	-5.9973
1084.147095	84.336777	-6.0419
1092.003296	84.374901	-6.2231
1099.916382	84.385880	-6.5160
1107.886841	84.375092	-6.8774
1115.915039	84.347908	-7.2958
1124.001343	84.288284	-7.6530
1132.146362	84.158516	-7.7993
1140.350342	84.028442	-7.8151
1148.613770	83.979286	-7.7151
1156.937134	83.941185	-7.5488
1165.320801	83.854836	-7.3909
1173.765137	83.767349	-7.1811
1182.270752	83.714256	-6.8702
1190.838013	83.673157	-6.4977
1199.467285	83.622360	-6.0598
1208.159180	83.594040	-5.6376
1216.913940	83.632690	-5.3060
1225.732178	83.680840	-5.0806
1234.614380	83.691078	-5.0547
1243.560913	83.676109	-5.0690
1252.572266	83.622353	-4.9838
1261.648926	83.562233	-4.8298
1270.791382	83.532913	-4.5911
1280.000000	83.507111	-4.2704
1289.275391	83.454826	-3.8485
1298.618042	83.420067	-3.3750
1308.028320	83.448997	-2.8558
1317.506836	83.506721	-2.4037
1327.054077	83.581139	-2.1716
1336.670410	83.648781	-2.0483
1346.356567	83.668449	-1.9736
1356.112793	83.680939	-1.9420
1365.939697	83.725815	-1.9244
1375.837891	83.766861	-1.9319
1385.807739	83.772377	-1.9830
1395.849854	83.767029	-2.0278
1405.964844	83.766998	-2.0125
1416.152954	83.766998	-1.9662
1426.415039	83.766998	-1.9038
1436.751465	83.766998	-1.8174
1447.162720	83.766998	-1.7124
1457.649414	83.766998	-1.5627
1468.212158	83.759506	-1.3287
1478.851440	83.766922	-1.0561
1489.567871	83.812523	-0.7421
1500.361816	83.886665	-0.4938
1511.234131	83.992699	-0.3951
1522.185059	84.114426	-0.5129
1533.215454	84.256416	-1.0017
1544.325806	84.359695	-1.6827
1555.516602	84.349007	-2.5011
1566.788574	84.276413	-3.2344
1578.142090	84.152740	-3.5950
1589.578003	84.028465	-3.7189
1601.096680	83.969170	-3.5994
1612.698975	83.941071	-3.3829
1624.385254	83.935555	-3.2268
1636.156250	83.940971	-3.0955
1648.012451	83.941002	-3.0151
1659.954590	83.941002	-2.9562
1671.983398	83.941002	-2.8984
1684.099243	83.941002	-2.8392
1696.302856	83.941002	-2.7747
1708.594971	83.941002	-2.6895
1720.976196	83.937256	-2.5608
1733.447144	83.940956	-2.4077
1746.008423	83.963745	-2.2271
1758.660645	84.000816	-2.0636
1771.404663	84.054321	-1.9664
1784.240967	84.114754	-1.9201
1797.170288	84.166847	-1.9084
1810.193359	84.229729	-1.9815
1823.310791	84.329910	-2.1807
1836.523193	84.430626	-2.5173
1849.831421	84.502312	-3.0502
1863.236084	84.548859	-3.6791
1876.737793	84.561821	-4.3394
1890.337524	84.549110	-4.9813
1904.035645	84.511131	-5.5332
1917.833008	84.462204	-5.9973
1931.730469	84.413246	-6.3242
1945.728638	84.375130	-6.5978
1959.828125	84.369553	-6.8674
1974.029907	84.374969	-7.1904
1988.334473	84.384422	-7.6747
2002.742798	84.375107	-8.2197
2017.255493	84.312065	-8.7850
2031.873291	84.224388	-9.2952
2046.597168	84.125183	-9.6305
2061.427734	84.028404	-9.8820
2076.365479	83.964020	-10.1073
2091.411865	83.897316	-10.2893
2106.566895	83.794525	-10.4513
2121.832031	83.681480	-10.5299
2137.207764	83.573303	-10.4696
2152.694824	83.469398	-10.2690
2168.294189	83.358040	-9.8461
2184.006592	83.287178	-9.3880
2199.832764	83.331718	-9.0371
2215.773682	83.400734	-8.8513
2231.830078	83.422478	-9.0058
2248.002686	83.411133	-9.2897
2264.292725	83.351280	-9.5703
2280.700684	83.261452	-9.7823
2297.227539	83.146500	-9.7912
2313.874268	83.032448	-9.6737
2330.641602	82.959290	-9.4695
2347.530273	82.890320	-9.1586
2364.541504	82.782722	-8.7201
2381.676025	82.693329	-8.1946
2398.934570	82.676544	-7.5609
2416.318359	82.698822	-6.9843
2433.827881	82.757919	-6.6621
2451.464355	82.812820	-6.4805
