"Fundamental + Harmonic distortion components"					
"Woofer"		"Tweeter"		"Port"	
"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"
172.485	106.492	652.588	92.2242	172.485	94.4341
172.852	106.493	652.954	92.2127	172.852	94.4037
173.218	106.494	653.32	92.2012	173.218	94.3742
173.584	106.495	653.687	92.1898	173.584	94.3457
173.95	106.496	654.053	92.1785	173.95	94.3181
174.316	106.496	654.419	92.1673	174.316	94.2914
174.683	106.497	654.785	92.1564	174.683	94.2655
175.049	106.498	655.151	92.1458	175.049	94.2404
175.415	106.499	655.518	92.1355	175.415	94.2162
175.781	106.5	655.884	92.1257	175.781	94.1928
176.147	106.501	656.25	92.1163	176.147	94.1702
176.514	106.502	656.616	92.1074	176.514	94.1485
176.88	106.503	656.982	92.0991	176.88	94.1275
177.246	106.504	657.349	92.0913	177.246	94.1074
177.612	106.506	657.715	92.0841	177.612	94.0881
177.979	106.507	658.081	92.0775	177.979	94.0696
178.345	106.508	658.447	92.0715	178.345	94.0446
178.711	106.51	658.813	92.0661	178.711	94.028
179.077	106.511	659.18	92.0613	179.077	94.012
179.443	106.512	659.546	92.0571	179.443	93.9967
179.81	106.513	659.912	92.0535	179.81	93.982
180.176	106.514	660.278	92.0523	180.176	93.9678
180.542	106.515	660.645	92.0499	180.542	93.9539
180.908	106.516	661.011	92.048	180.908	93.9404
181.274	106.517	661.377	92.0466	181.274	93.9342
181.641	106.518	661.743	92.0454	181.641	93.9207
182.007	106.518	662.109	92.0446	182.007	93.9073
182.373	106.519	662.476	92.0441	182.373	93.8937
182.739	106.52	662.842	92.0438	182.739	93.8799
183.105	106.52	663.208	92.0438	183.105	93.8657
183.472	106.52	663.574	92.0438	183.472	93.851
183.838	106.52	663.94	92.0441	183.838	93.8355
184.204	106.519	664.307	92.0444	184.204	93.8192
184.57	106.518	664.673	92.0448	184.57	93.8019
184.937	106.517	665.039	92.0453	184.937	93.7834
185.303	106.516	665.405	92.0459	185.303	93.7636
185.669	106.514	665.771	92.0464	185.669	93.7424
186.035	106.512	666.138	92.0471	186.035	93.7197
186.401	106.509	666.504	92.0477	186.401	93.6952
186.768	106.506	666.87	92.0484	186.768	93.6689
