* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 4-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2313.874268	80.401184	-15.7917
2330.641602	80.374603	-15.9574
2347.530273	80.315384	-16.0678
2364.541504	80.140900	-15.9494
2381.676025	79.965706	-15.6439
2398.934570	79.899803	-15.0581
2416.318359	79.878029	-14.4257
2433.827881	79.877983	-13.9928
2451.464355	79.878029	-13.6354
2469.228760	79.840134	-13.3327
2487.121826	79.791214	-13.0145
2505.144531	79.742264	-12.5768
2523.297852	79.704132	-12.0992
2541.582764	79.699493	-11.6200
2560.000000	79.703979	-11.1620
2578.550781	79.701027	-10.7859
2597.236084	79.689087	-10.4158
2616.056641	79.657669	-10.0153
2635.013672	79.617180	-9.5234
2654.108154	79.563202	-8.8363
2673.340820	79.530060	-8.0466
2692.713135	79.562889	-7.1926
2712.225586	79.625648	-6.3370
2731.879395	79.688904	-5.5411
2751.675781	79.776512	-4.8479
2771.615479	79.921432	-4.3380
2791.699707	80.068390	-3.9604
2811.929688	80.155136	-3.7061
2832.305908	80.233620	-3.5287
2852.830078	80.347092	-3.3678
2873.502930	80.461517	-3.2573
2894.325439	80.548805	-3.2150
2915.298828	80.632607	-3.2308
2936.424316	80.738159	-3.3155
2957.702881	80.833633	-3.4235
2979.135742	80.878822	-3.5099
3000.723633	80.922760	-3.5827
3022.468262	81.010361	-3.5951
3044.370117	81.115486	-3.6684
3066.430908	81.235146	-3.9341
3088.651611	81.343567	-4.3181
3111.033203	81.409012	-4.8225
3133.577148	81.445892	-5.3456
3156.284180	81.452385	-5.7817
3179.156006	81.446030	-6.1425
3202.193359	81.445999	-6.3995
3225.397949	81.445992	-6.5704
3248.770508	81.440567	-6.6511
3272.312500	81.445930	-6.6780
3296.024902	81.479553	-6.6565
3319.909180	81.532715	-6.6747
3343.966797	81.614929	-6.8503
3368.198486	81.688713	-7.1017
3392.605713	81.707718	-7.4165
3417.189941	81.707031	-7.7009
3441.952393	81.702698	-7.8303
3466.894287	81.706940	-7.8818
3492.016846	81.739365	-7.8617
